"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE","ADMISSION_PHONE","ADMISSION_PHONE_EXT","ADDITIONAL_LOCATION_NAME","ADDITIONAL_LOCATION_STREET","ADDITIONAL_LOCATION_CITY","ADDITIONAL_LOCATION_ZIP","ADDITIONAL_LOCATION_COUNTYNAME"
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare Life Recovery CR","50036","Bronx","1285 Fulton Ave","Bronx","NY","10456","3401","Ms. Demetria Nelson","denelson@bronxleb.org","7185183736","","Residential","Community Residential","7185183736","","","","","",""
"BronxCare Health System","85190","1276 Fulton Ave","Bronx","Bronx","NY","10456","3402","BronxCare OTP","309","Bronx","1276 Fulton Ave","Bronx","NY","10456","3402","Ms. Demetria Nelson","denelson@bronxleb.org","7185037752","",Opioid Treatment Program,"Opioid Outpatient Treatment","7185037767","","","","","",""
"Concourse Medical Center, Inc.","43050","880 Morris Ave","Bronx","Bronx","NY","10451","3412","Concourse Medical Center OTP","829","Bronx","880 Morris Ave","Bronx","NY","10451","3412","Ms. Ana M Matos CASAC","amatos@concoursemedical.com","7186659340","118",Opioid Treatment Program,"Opioid Outpatient Treatment","7186659340","118","","","","",""
"Counseling Services of New York LLC","44640","911 Walton Ave, Ste 1-B","Bronx","Bronx","NY","10452","","Counseling Services of New York LLC OP","52002","Bronx","911 Walton Ave","Bronx","NY","10452","","Mrs. Danielle Coleman","programdirector@csofny.com","7185901790","6609","Outpatient","Outpatient Clinic","7185901790","6608","","","","",""
"El Regreso, Inc.","1522","141 South 3rd Street","Brooklyn","Kings","NY","11211","5509","El Regreso IR","6093","Bronx","834 E 156th St","Bronx","NY","10455","1815","Mr. Rafael Roman CASAC","rroman@elregreso.org","7183846400","6860","Residential","Intensive Residential","","","","","","",""
"Jacobi Medical Center (HHC)","85140","1400 Pelham Pkwy S","Bronx","Bronx","NY","10461","","Jacobi Medical Center (HHC) OP","51889","Bronx","1400 Pelham Pkwy S","Bronx","NY","10461","","Jantra Coll","collj@nychhc.org","7189187798","","Outpatient","Outpatient Clinic","7189187798","","","","","",""
"Jacobi Medical Center (HHC)","85140","1400 Pelham Pkwy S","Bronx","Bronx","NY","10461","","Jacobi Medical Center- MMD","50456","Bronx","1400 Pelham Pkwy S","Bronx","NY","10461","1197","Dr. Lili Rysz","lili.rysz@nbhn.net","7189184489","","Crisis","Medical Managed Detoxification","7189184478","","","","","",""
"Lincoln Medical & MHC (HHC)","84150","234 E 149th St","Bronx","Bronx","NY","10451","","Rec Ctr at Belvis Diagnostic & TC OP","6813","Bronx","545 E 142nd St","Bronx","NY","10454","2110","Christina Laboy CSW-R","Christina.Laboy@nychhc.org","7185794061","","Outpatient","Outpatient Clinic","7185794063","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Pl","Bronx","Bronx","NY","10461","2723","Montefiore Medical Center MSW-OP","52788","Bronx","1510 Waters Pl","Bronx","NY","10461","","Mrs. Lekeisha Dawkins","Lmackda@montefiore.org","7188293440","8578","Crisis","Med Sup Withdrawal-Outpatient","","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Pl","Bronx","Bronx","NY","10461","2723","Montefiore Medical Center OP","51981","Bronx","2058 Jerome Ave","Bronx","NY","10453","1817","Stephanie Pagan","stpagan@montefiore.org","9175648788","","Outpatient","Outpatient Clinic","9175648788","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Pl","Bronx","Bronx","NY","10461","2723","Montefiore Medical Center OTP","327","Bronx","3550 Jerome Ave","Bronx","NY","10467","1005","Mrs. Lovlet Burke","loburke@montefiore.org","7189204067","",Opioid Treatment Program,"Opioid Outpatient Treatment","7189204067","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Pl","Bronx","Bronx","NY","10461","2723","Montefiore Medical Center OTP 1","420","Bronx","2058 Jerome Ave","Bronx","NY","10453","1817","Adonica Matthews","amatthew@montefiore.org","9175648728","",Opioid Treatment Program,"Opioid Outpatient Treatment","7185830600","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Pl","Bronx","Bronx","NY","10461","2723","Next Steps North OP","52787","Bronx","1510 Waters Pl","Bronx","NY","10461","","Ms. Anaam Hussain","anhussai@montefiore.org","7185973888","","Outpatient","Outpatient Clinic","7185973888","","Montefiore Medical Center","1200 Waters Place","Bronx","10461","Bronx"
"Montefiore Medical Center","85420","1510 Waters Pl","Bronx","Bronx","NY","10461","2723","Next Steps North OP 1","52915","Bronx","1510 Waters Pl","Bronx","NY","10461","","Maria Porinchak","mporinch@montefiore.org","7184099433","","Outpatient","Outpatient Clinic","7184099433","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Pl","Bronx","Bronx","NY","10461","2723","Next Steps South OP","52792","Bronx","260 E 161st St","Bronx","NY","10451","","Ms. Crismilda Fermin LMSW","jumartin@montefiore.org","7189933397","","Outpatient","Outpatient Clinic","7189933397","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Pl","Bronx","Bronx","NY","10461","2723","Wakefield Recovery Center OP","52212","Bronx","4401 Bronx Blvd","Bronx","NY","10470","1407","Meredith Pouncey LCSW","mpouncey@montefiore.org","7183047048","","Outpatient","Outpatient Clinic","7183047070","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Pl","Bronx","Bronx","NY","10461","2723","Wellness Center at Melrose OTP","52791","Bronx","260 E 161st St","Bronx","NY","10451","","Ms. Crismilda Fermin LMSW","jumartin@montefiore.org","7189933397","",Opioid Treatment Program,"Opioid Outpatient Treatment","7189933397","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Pl","Bronx","Bronx","NY","10461","2723","Wellness Center at Port Morris OTP","52790","Bronx","804 E 138th St","Bronx","NY","10454","","Ms. Theresa Rivera","thrivera@montefiore.org","7186657500","",Opioid Treatment Program,"Opioid Outpatient Treatment","7186657500","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Pl","Bronx","Bronx","NY","10461","2723","Wellness Center at Waters Place OMM","52789","Bronx","1510 Waters Pl","Bronx","NY","10461","","Mr. Joseph Hecht","jhecht@montefiore.org","7184099450","",Opioid Treatment Program,"Medical Maintenance","7184099450","","","","","",""
"Montefiore Medical Center","85420","1510 Waters Pl","Bronx","Bronx","NY","10461","2723","Wellness Center at Waters Place OTP","52786","Bronx","1510 Waters Pl","Bronx","NY","10461","","Mrs. Lekeisha Dawkins","Lmackda@montefiore.org","7184099420","8578",Opioid Treatment Program,"Opioid Outpatient Treatment","7188293440","8278","","","","",""
"Odyssey House, Inc.","19400","95 Pine St","New York","New York","NY","10005","","Odyssey House IR 6","52056","Bronx","1264 Lafayette Ave","Bronx","NY","10474","5309","Caitlin McGreevy","CMcgreevy@odysseyhousenyc.org","7183788671","","Residential","Intensive Residential","2129875118","","","","","",""
"Odyssey House, Inc.","19400","95 Pine St","New York","New York","NY","10005","","Odyssey House, Inc. CR","52659","Bronx","1328 Clinton Ave","Bronx","NY","10456","2548","Mr. Alan Greenfield","AGreenfield@odysseyhousenyc.org","7183784520","","Residential","Community Residential","","","","","","",""
"Odyssey House, Inc.","19400","95 Pine St","New York","New York","NY","10005","","Odyssey House, Inc. OP","7392","Bronx","953 Southern Blvd","Bronx","NY","10459","","Ms. Mary Callahan","MCallahan@odysseyhousenyc.org","7188602994","","Outpatient","Outpatient Clinic","","","","","","",""
"Osborne Treatment Services,Inc","1879","809 Westchester Ave","Bronx","Bronx","NY","10455","1704","Osborne Treatment Services, Inc OP","7323","Bronx","809 Westchester Ave","Bronx","NY","10455","1704","Mr. Michael L Cannaday CASAC","mcannaday@osborneny.org","6463278240","","Outpatient","Outpatient Clinic","7187072679","","","","","",""
"Palladia, Inc.","39050","463 7th Ave","New York","New York","NY","10018","","Starhill IR","52855","Bronx","1600 Macombs Rd","Bronx","NY","10452","2016","Mr. Kyle Patterson","kpatterson@sus.org","6468413887","","Residential","Intensive Residential","","","","","","",""
"PROMESA, Inc.","166","1776 Clay Ave","Bronx","Bronx","NY","10457","7239","PROMESA, Inc. IP","52108","Bronx","1776 Clay Ave","Bronx","NY","10457","","Mrs. Stephanie Curry CASAC","scurry@promesa.org","7182991100","7663","Inpatient","Inpatient Rehabilitation","7182991100","7599","","","","",""
"PROMESA, Inc.","166","1776 Clay Ave","Bronx","Bronx","NY","10457","7239","PROMESA, Inc. MSW-IP","52099","Bronx","1776 Clay Ave","Bronx","NY","10457","7239","Mrs. Stephanie Curry CASAC","scurry@promesa.org","7182991100","7663","Crisis","Med Sup Withdrawal - Inpatient","7182991100","7599","","","","",""
"PROMESA, Inc.","166","1776 Clay Ave","Bronx","Bronx","NY","10457","7239","PROMESA, Inc. MTA-R","1183","Bronx","1776 Clay Ave","Bronx","NY","10457","7239","Evelyn Munoz","emunoz@promesa.org","7182991100","3046",Opioid Treatment Program,"MAOT-A-Residential","7182991100","7599","","","","",""
"PROMESA, Inc.","166","1776 Clay Ave","Bronx","Bronx","NY","10457","7239","PROMESA, Inc. OP","6832","Bronx","1776 Clay Ave","Bronx","NY","10457","7239","Rosa Perez","rperez@promesa.org","3476493011","","Outpatient","Outpatient Clinic","7182991100","7599","","","","",""
"PROMESA, Inc.","166","1776 Clay Ave","Bronx","Bronx","NY","10457","7239","PROMESA, Inc. OTP","1185","Bronx","1776 Clay Ave","Bronx","NY","10457","7239","Evelyn Munoz","emunoz@promesa.org","7182991100","3046",Opioid Treatment Program,"Opioid Outpatient Treatment","7182991100","7599","","","","",""
"PROMESA, Inc.","166","1776 Clay Ave","Bronx","Bronx","NY","10457","7239","PROMESA, Inc. RRSY","2","Bronx","311 E 175th St","Bronx","NY","10457","","Ms. Yenia Vasquez LMSW","yvasquez@promesa.org","9294878298","","Residential","Residential Rehab for Youth","7182991100","7599","","","","",""
"PROMESA, Inc.","166","1776 Clay Ave","Bronx","Bronx","NY","10457","7239","Ramon Velez Recovery Center OP","53022","Bronx","754 E 151st St","Bronx","NY","10455","3267","Ms. Ana Garcia","Agarcia@promesa.org","3473522435","","Outpatient","Outpatient Clinic","","","","","","",""
"PROMESA, Inc.","166","1776 Clay Ave","Bronx","Bronx","NY","10457","7239","Ramon Velez Recovery Center OTP","52934","Bronx","754 E 151st St","Bronx","NY","10455","3267","Ms. Antoinette Rojas","AnRojas@acacianetwork.org","3473522435","",Opioid Treatment Program,"Opioid Outpatient Treatment","","","","","","",""
"Riverdale Mental Health Association","18040","5676 Riverdale Avenue","Bronx","Bronx","NY","10471","2191","Riverdale Mental Health Association OP","2016","Bronx","5676 Riverdale Ave","Bronx","NY","10471","2191","Ms. Mayra L Estrada-Cruz LCSW","mestrada@rmha.org","7187965300","153","Outpatient","Outpatient Clinic","7187965300","125","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Briarwood","Queens","NY","11435","2642","Bronx Outreach Center OP","52769","Bronx","900 Arnow Ave","Bronx","NY","10469","3906","Dominick Mattina","dominick.mattina@samaritanvillage.org","7185189007","","Outpatient","Outpatient Clinic","","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Briarwood","Queens","NY","11435","2642","Independence OP","52897","Bronx","2776-2778 3rd Ave","Bronx","NY","10455","","Ms. Arlene G Morales","arlene.morales@samaritanvillage.org","7184029000","","Outpatient","Outpatient Clinic","7184029000","105","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Briarwood","Queens","NY","11435","2642","Samaritan Daytop Village, Inc IR 2","3162","Bronx","1381 Dr Martin L King Jr Blvd","Bronx","NY","10452","","Elizabeth Fulton","elizabeth.fulton@samaritanvillage.org","7186319300","","Residential","Intensive Residential","7186576195","8744","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Briarwood","Queens","NY","11435","2642","Samaritan Daytop Village, Inc. OTP 1","52882","Bronx","477-481 Willis Ave","Bronx","NY","10455","","Saby Guzman","saby.guzman@samaritanvillage.org","7182924640","299",Opioid Treatment Program,"Opioid Outpatient Treatment","","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Briarwood","Queens","NY","11435","2642","Samaritan Daytop Village, Inc. OTP 2","52883","Bronx","250 Grand Concourse","Bronx","NY","10451","","Mrs. Lucy Miroquesada","Lucy.Miroquesada@samaritanvillage.org","7182924455","",Opioid Treatment Program,"Opioid Outpatient Treatment","","","","","","",""
